fielddate	poiskInd_corr	RTRD	levada_IPN	USD
2019-04-01	34.262110789851626	2656.9	59.21052631578947	64.60310476190477
2019-05-01	33.31273375536435	2703.2	57.89473684210525	64.81870555555554
2019-06-01	34.94174104562398	2741.0	59.21052631578947	64.16904999999998
2019-07-01	33.32153244554422	2807.0	60.526315789473685	63.222681818181826
2019-08-01	39.421647751376966	2897.5	61.842105263157904	65.58748260869568
2019-09-01	39.21199254208366	2856.2	63.157894736842096	64.95870500000001
2019-10-01	35.473272911488145	2904.6	64.47368421052633	64.37499130434783
2019-11-01	35.629624288945024	2932.5	65.78947368421052	63.867119047619035
2019-12-01	35.52553728401014	3472.9	68.42105263157895	62.9325380952381
2020-01-01	36.7061635342889	2639.8	71.05263157894737	61.81214705882353
2020-02-01	41.63185005090532	2628.9	50.0	63.97975000000001
